email,password
ADMIN,
admin@example.com,supersecurepassword
kiss.jozsef@admin.hu,admin123  
nagy.anna@admin.hu,titkos456  
toth.laszlo@admin.hu,jelszo789  
szabo.katalin@admin.hu,biztonsagos123  
farkas.gabor@admin.hu,jelszo456  
CAREGIVERS,
balogh.eszter@care.hu,pw123  
varga.zoltan@care.hu,pw456  
molnar.agnes@care.hu,pw789  
feher.daniel@care.hu,pw321  
pinter.rita@care.hu,pw654  
bognar.mark@care.hu,pw987  
juhasz.noemi@care.hu,pw000  
kovacs.peter@care.hu,pw111  
olah.eniko@care.hu,pw222  
toth.gabor@care.hu,pw333  
kelemen.zsofia@care.hu,pw444  
lengyel.adam@care.hu,pw555  
takacs.judit@care.hu,pw666  
simon.reka@care.hu,pw777  
fekete.norbert@care.hu,pw888  
szucs.laura@care.hu,pw999  
kiss.andras@care.hu,pw112  
soos.nikolett@care.hu,pw113  
tamas.bence@care.hu,pw114  
barna.ildiko@care.hu,pw115  
lukacs.dora@care.hu,pw116  
csabai.gabor@care.hu,pw117  
szalai.anett@care.hu,pw118  
hegedus.zsolt@care.hu,pw119  
biro.petra@care.hu,pw120  
papp.mate@care.hu,pw121  
torok.szilvia@care.hu,pw122  
vincze.krisztian@care.hu,pw123  
balla.emese@care.hu,pw124  
horvath.nora@care.hu,pw125  
nemeth.kristof@care.hu,pw126  
veres.piroska@care.hu,pw127  
benedek.erik@care.hu,pw128  
sarkozi.lilla@care.hu,pw129  
antal.balint@care.hu,pw130  
timar.klaudia@care.hu,pw131  
gyorgy.laszlo@care.hu,pw132  
kadar.greta@care.hu,pw133  
fabian.kitti@care.hu,pw134  
orban.tamara@care.hu,pw135  
demeter.csaba@care.hu,pw136  
gulyas.aliz@care.hu,pw137  
beres.attila@care.hu,pw138  
major.panna@care.hu,pw139  
sipos.szilard@care.hu,pw140  
borbas.melinda@care.hu,pw141  
meszaros.roland@care.hu,pw142  
laszlo.timea@care.hu,pw143  
kerekes.dora@care.hu,pw144  
barta.zoltan@care.hu,pw145  
fekete.noemi@care.hu,pw146  
RECIPIENTS,
kovacs.erzsebet@rec.hu,recpw1
szabo.janos@rec.hu,recpw2
varga.istvan@rec.hu,recpw3
toth.maria@rec.hu,recpw4
kiss.gabor@rec.hu,recpw5
nagy.geza@rec.hu,recpw6
feher.laszlone@rec.hu,recpw7
molnar.kalman@rec.hu,recpw8
papp.margit@rec.hu,recpw9
bognar.jozsef@rec.hu,recpw10
fekete.ilona@rec.hu,recpw11
balogh.andras@rec.hu,recpw12
lakatos.sara@rec.hu,recpw13
fodor.zoltan@rec.hu,recpw14
biro.anna@rec.hu,recpw15
gulyas.laszlo@rec.hu,recpw16
szalai.reka@rec.hu,recpw17
sipos.mihaly@rec.hu,recpw18
kelemen.veronika@rec.hu,recpw19
torok.denes@rec.hu,recpw20
olah.maria@rec.hu,recpw21
nemeth.imre@rec.hu,recpw22
toth.agnes2@rec.hu,recpw23
pinter.gabor@rec.hu,recpw24
lukacs.katalin@rec.hu,recpw25
takacs.attila@rec.hu,recpw26
simon.judit@rec.hu,recpw27
katona.tamas@rec.hu,recpw28
major.eszter@rec.hu,recpw29
balla.laszlone@rec.hu,recpw30
sarkozi.gergely@rec.hu,recpw31
molnar.zsuzsanna@rec.hu,recpw32
kiss.andras2@rec.hu,recpw33
jakab.laura@rec.hu,recpw34
vass.csaba@rec.hu,recpw35
horvath.julia@rec.hu,recpw36
farkas.gyula@rec.hu,recpw37
kadar.lili@rec.hu,recpw38
bognar.adam@rec.hu,recpw39
szentpeteri.erika@rec.hu,recpw40
barta.robert@rec.hu,recpw41
kis.judit@rec.hu,recpw42
somogyi.zsolt@rec.hu,recpw43
beres.nora@rec.hu,recpw44
szentgyorgyi.daniel@rec.hu,recpw45
veres.klara@rec.hu,recpw46
weisz.tamas@rec.hu,recpw47
halasz.petra@rec.hu,recpw48
olah.gabor@rec.hu,recpw49
hajnal.nora@rec.hu,recpw50
major.laszlo@rec.hu,recpw51
jaksa.marta@rec.hu,recpw52
revesz.imre@rec.hu,recpw53
kovacsne.edit@rec.hu,recpw54
takacs.zsolt@rec.hu,recpw55
vincze.beata@rec.hu,recpw56
sebok.dora@rec.hu,recpw57
fekete.kristof@rec.hu,recpw58
nagy.bernadett@rec.hu,recpw59
tari.ferenc@rec.hu,recpw60
